"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-105.841091,100,528.00493
-81.465706,100,530.293867
-77.083969,100,532.589976
-104.930045,100,534.693582
-67.720999,100,536.919913
-80.045964,100,539.249914
-104.041133,100,541.658087
-84.931298,100,544.157432
-84.491715,100,546.511726
-79.930391,100,548.8983
-75.131301,100,551.037608
-70.170799,100,553.316114
-89.147291,100,555.593512
-98.683156,100,558.004341
-85.658657,100,560.521424
-112.275201,100,562.867227
-84.087648,100,565.231474
-56.514987,100,567.44642
-79.607215,100,569.615767
-86.983326,100,571.898735
-83.185288,100,574.343867
-97.731089,100,576.445639
-75.066536,100,578.628137
-91.757251,100,580.94764
-122.958317,100,583.313246
-78.197198,100,585.629104
-81.285291,100,587.83073
-91.446397,100,589.937536
-86.358672,100,592.285299
-100.828959,100,594.470029
-74.300253,100,596.665442
-84.933133,100,598.917323
-62.16724,100,601.273611
-89.126393,100,603.689165
-104.801435,100,605.742472
-72.217061,100,607.989466
-86.312084,100,610.158125
-89.073991,100,612.490493
-97.343474,100,614.681706
-91.94488,100,616.96486
-105.709558,100,619.085754
-71.357531,100,621.681295
-118.0585,100,623.772511
-101.526279,100,626.013372
-95.049733,100,628.203672
-108.83593,100,630.462548
-101.2786,100,632.56627
-92.929324,100,634.841937
-91.350489,100,637.173956
-62.245729,100,639.538952
-73.88534,100,641.808571
-91.543097,100,644.199464
-81.424632,100,646.664599
-63.578432,100,648.941714
-106.223408,100,651.36848
-90.62278,100,653.788599
-89.718332,100,656.084344
-99.497403,100,658.221004
-88.077661,100,660.652083
-89.127912,100,662.927982
-79.223914,100,665.172122
-82.035873,100,667.534488
-98.377227,100,669.788881
-76.5546,100,672.170426
-85.570519,100,674.356208
-64.202633,100,676.641933
-76.726213,100,679.08143
-107.539269,100,681.395446
-60.73989,100,683.907783
-89.460945,100,686.453463
-62.621508,100,688.70877
-72.733518,100,691.13179
-78.280863,100,693.430377
-91.238387,100,695.858126
-78.977231,100,698.283412
-86.055077,100,700.780251
-87.038084,100,703.147373
-83.058758,100,705.328259
-94.123163,100,707.738686
-68.720945,100,710.146699
-64.370918,100,712.550063
-79.041997,100,714.955981
-119.515674,100,717.322514
-114.440074,100,719.756987
-92.310354,100,722.198824
-60.14987,100,724.740944
-69.584917,100,727.076271
-79.654034,100,729.505792
-76.657133,100,732.069844
-86.360837,100,734.644663
-79.360622,100,737.00611
-90.033394,100,739.265272
-80.678971,100,741.737128
-79.728921,100,744.122907
-75.444709,100,746.731577
-84.714605,100,749.134666
-87.648172,100,751.390387
-128.699976,100,753.774167
-98.148553,100,756.380228
-91.555997,100,758.751261
-96.179078,100,761.025177
-65.25491,100,763.490192
-69.854643,100,765.872513
-70.309958,100,768.358228
-82.819281,100,770.910148
-98.977342,100,773.167709
-119.437801,100,775.471736
-123.165408,100,777.822838
-97.215326,100,780.139499
-89.152829,100,782.525261
-108.801826,100,784.833009
-98.609411,100,787.04454
-85.135997,100,789.421475
-77.864188,100,791.80841
-94.841356,100,794.02236
-65.451021,100,796.487518
-101.543526,100,798.865189
-131.30747,100,801.297122
-68.401629,100,803.64664
-93.066705,100,806.048502
-73.684355,100,808.501096
-74.197232,100,810.832829
-115.428627,100,813.113484
-88.932293,100,815.428646
-65.073276,100,817.837427
-67.020919,100,820.514531
-89.111863,100,822.792228
-55.803828,100,825.364771
-104.325342,100,827.711068
-89.715297,100,830.163528
-83.84208,100,832.706138
-82.200543,100,835.182702
-109.444608,100,837.522421
-82.758151,100,839.992596
-107.815184,100,842.257812
-88.164878,100,844.788628
-88.22427,100,847.080528
-77.262507,100,849.610638
-108.325024,100,851.972431
-79.122055,100,854.463693
-75.174903,100,856.82164
-62.509104,100,859.315948
-72.914491,100,861.766121
-49.574765,100,864.097093
-69.781608,100,866.504949
-89.17033,100,868.962033
-117.708128,100,871.111343
-71.966472,100,873.676544
-80.35413,100,876.063628
-76.194921,100,878.55271
-88.07855,100,881.046542
-79.542511,100,883.529337
-78.161817,100,885.982571
-84.341138,100,888.528766
-70.227386,100,891.00857
-52.299897,100,893.42767
-76.695798,100,895.908565
-128.208651,100,898.352593
-46.264847,100,900.838611
-83.904025,100,903.103045
-81.725452,100,905.434497
-86.496706,100,907.790227
-113.525199,100,909.952825
-87.990238,100,912.383424
-43.982857,100,914.759065
-68.212693,100,917.090276
-82.417946,100,919.36781
-106.190641,100,921.641269
-94.168761,100,924.078433
-115.628518,100,926.477469
-73.317297,100,928.831257
-86.304746,100,931.270795
-85.08522,100,933.667234
-115.752566,100,936.13334
-85.320647,100,938.637748
-76.040682,100,941.024523
-97.390899,100,943.406806
-79.50914,100,945.962838
-55.038622,100,948.41235
-119.335944,100,950.84894
-81.141716,100,953.20768
-138.305131,100,955.430681
-84.833315,100,957.897967
-82.299289,100,960.334995
-106.048446,100,962.701108
-87.967615,100,965.18431
-69.974971,100,967.582893
-79.809744,100,970.049567
-117.521179,100,972.313772
-130.33777,100,974.618879
