#{"env_id": "BaxterReachEnv-v1", "t_start": 1543951262.926203}
r,l,t
-35.135991,100,2.413292
-35.135991,100,3.735144
-35.135991,100,5.017352
-35.135991,100,6.372593
-35.135991,100,7.662721
-35.135991,100,8.957728
-35.135991,100,10.387435
-35.135991,100,11.732505
-35.135991,100,13.092233
-35.135991,100,14.545519
-35.135991,100,16.055218
-35.135991,100,17.442179
-35.135991,100,18.881575
-35.135991,100,20.258335
-35.135991,100,21.732423
-35.135991,100,23.138994
-35.135991,100,24.48665
-35.135991,100,25.758088
-35.135991,100,27.080161
-35.135991,100,28.415081
-35.135991,100,29.710987
-35.135991,100,31.144609
-35.135991,100,32.490546
-35.135991,100,33.8344
-35.135991,100,35.307401
-35.135991,100,36.70772
-35.135991,100,38.082988
-35.135991,100,39.438762
-35.135991,100,40.949721
-35.135991,100,42.39718
-35.135991,100,43.728294
-35.135991,100,45.113246
-35.135991,100,46.518085
-35.135991,100,47.940761
-35.135991,100,49.331276
-35.135991,100,50.631591
-35.135991,100,51.962172
-35.135991,100,53.243922
-35.135991,100,54.515806
-35.135991,100,55.779259
-35.135991,100,57.042309
-35.135991,100,58.315738
-35.135991,100,59.660119
-35.135991,100,61.00424
-35.135991,100,62.42184
-35.135991,100,64.110499
-35.135991,100,65.512077
-35.135991,100,66.790041
-35.135991,100,68.133949
-35.135991,100,69.465226
-35.135991,100,70.900029
-35.135991,100,73.25824
-35.135991,100,75.082554
-35.135991,100,77.069024
-35.135991,100,78.886391
-35.135991,100,80.468893
-35.135991,100,81.970782
-35.135991,100,83.452124
-35.135991,100,85.001846
-35.135991,100,86.662362
-35.135991,100,88.449128
-34.321915,100,90.150803
-29.553068,100,91.889446
-19.64883,73,93.258365
-24.508322,94,95.04401
-35.135991,100,96.725146
-35.135991,100,98.239468
-35.135991,100,99.690411
-35.135991,100,101.098209
-35.135991,100,102.510635
-35.135991,100,104.054656
-35.135991,100,105.668215
-35.135991,100,107.241823
-35.135991,100,109.061003
-35.135991,100,111.222965
-35.135991,100,113.371194
-35.135991,100,115.694507
-35.135991,100,117.872267
-35.135991,100,120.147255
-35.135991,100,122.266103
-35.135991,100,124.301956
-35.135991,100,126.195668
-35.135991,100,128.041
-35.135991,100,129.720151
-35.135991,100,131.383462
-35.135991,100,133.182563
-35.135991,100,134.941195
-35.135991,100,136.618772
-35.135991,100,138.286129
-35.135991,100,140.12467
-35.135991,100,142.08227
-35.135991,100,143.626057
-35.135991,100,145.077155
-35.135991,100,146.589701
-35.135991,100,148.048021
-35.135991,100,149.460196
-35.135991,100,150.896695
-35.135991,100,152.372038
-35.135991,100,153.851105
-25.254776,100,155.403696
-16.452389,60,156.453981
-14.558045,55,157.277237
-12.085836,44,158.074651
-10.290706,39,158.657516
-10.17256,38,159.369216
-7.437778,28,159.782735
-7.437778,28,160.199584
-7.437778,28,160.618954
-6.776774,25,161.146532
-5.786757,22,161.471249
-5.786757,22,161.794366
-5.786757,22,162.126549
-5.786757,22,162.455034
-5.452051,21,162.923597
-5.452051,21,163.231803
-5.452051,21,163.540902
-5.452051,21,163.850577
-5.36562,20,164.316897
-5.317611,20,164.610845
-5.317611,20,164.908933
-5.317611,20,165.203985
-5.317611,20,165.502
-5.316168,20,165.971948
-5.300053,20,166.262849
-5.300053,20,166.557443
-5.300053,20,166.852088
-5.300053,20,167.148182
-5.299372,20,167.60982
-5.292166,20,167.911773
-5.292166,20,168.205224
-5.292166,20,168.504069
-5.292166,20,168.798663
-5.291703,20,169.261113
-5.28792,20,169.563381
-5.28792,20,169.858894
-5.28792,20,170.149547
-5.28792,20,170.444244
-5.28768,20,170.897476
-5.285283,20,171.191434
-5.285283,20,171.496222
-5.285283,20,171.791238
-5.285283,20,172.08257
-5.285121,20,172.535503
-5.28353,20,172.826406
-5.28353,20,173.117291
-5.28353,20,173.421285
-5.28353,20,173.712795
-5.283433,20,174.167448
-5.282349,20,174.459409
-5.282349,20,174.7497
-5.282349,20,175.047117
-5.282349,20,175.346402
-5.282302,20,175.798887
-5.281325,20,176.090547
-5.281325,20,176.381251
-5.281325,20,176.672807
-5.281325,20,176.963946
-5.281268,20,177.422005
-5.280611,20,177.720064
-5.280611,20,178.011078
-5.280611,20,178.301256
-5.280611,20,178.591541
-5.280508,20,179.044249
-5.279941,20,179.335477
-5.279941,20,179.626542
-5.279941,20,179.924483
-5.279941,20,180.225409
-5.279934,20,180.692369
-5.279512,20,180.982706
-5.279512,20,181.283694
-5.279512,20,181.576943
-5.279512,20,181.866891
-5.279487,20,182.32044
-5.279186,20,182.623537
-5.279186,20,182.914184
-5.279186,20,183.209551
-5.279186,20,183.503458
-5.279076,20,183.959316
-5.278799,20,184.252952
-5.278799,20,184.54622
-5.278799,20,184.840521
-5.278799,20,185.145828
-5.278689,20,185.613217
-5.278624,20,185.908132
-5.278624,20,186.201958
-5.278624,20,186.496022
-5.278624,20,186.788653
-5.2786,20,187.27881
-5.27831,20,187.572567
-5.27831,20,187.865219
-5.27831,20,188.159114
-5.27831,20,188.453715
-5.278322,20,188.910393
-5.278187,20,189.203931
-5.278187,20,189.505742
-5.278187,20,189.808988
-5.278187,20,190.104047
-5.278181,20,190.56214
-5.278086,20,190.856915
-5.278086,20,191.150553
-5.278086,20,191.455902
-5.278086,20,191.749532
-5.278074,20,192.206597
-5.277926,20,192.50281
-5.277926,20,192.800347
-5.277926,20,193.103848
-5.277926,20,193.395991
-5.277978,20,193.856411
-5.277792,20,194.152002
-5.277792,20,194.448167
-5.277792,20,194.750473
-5.277792,20,195.049155
-5.277868,20,195.517991
-5.277823,20,195.813529
-5.277823,20,196.113094
-5.277823,20,196.41982
-5.277823,20,196.715113
-5.277812,20,197.173453
-5.277728,20,197.468736
-5.277728,20,197.760974
-5.277728,20,198.069927
-5.277728,20,198.364823
-5.277721,20,198.821177
-5.277751,20,199.11543
-5.277751,20,199.409809
-5.277751,20,199.720048
-5.277751,20,200.026575
-5.27776,20,200.483877
-5.277753,20,200.778519
-5.277753,20,201.070712
-5.277753,20,201.374619
-5.277753,20,201.668074
-5.277698,20,202.129221
-5.277773,20,202.425229
-5.277773,20,202.716933
-5.277773,20,203.021194
-5.277773,20,203.31301
-5.277772,20,203.766545
-5.277721,20,204.057882
-5.277721,20,204.349513
-5.277721,20,204.653468
-5.277721,20,204.95158
-5.277733,20,205.413528
-5.2777,20,205.704781
-5.2777,20,206.006469
-5.2777,20,206.309482
-5.2777,20,206.599496
-5.277747,20,207.057521
-5.277707,20,207.349069
-5.277707,20,207.641879
-5.277707,20,207.942758
-5.277707,20,208.234669
-5.277702,20,208.689337
-5.277665,20,208.980239
-5.277665,20,209.27594
-5.277665,20,209.574758
-5.277665,20,209.866998
-5.277662,20,210.330734
-5.277632,20,210.640691
-5.277632,20,210.948473
-5.277632,20,211.246865
-5.277632,20,211.537752
-5.277687,20,211.989617
-5.277684,20,212.280767
-5.277684,20,212.579538
-5.277684,20,212.874554
-5.277684,20,213.165774
-5.277681,20,213.618665
-5.277517,20,213.909593
-5.277517,20,214.214598
-5.277517,20,214.506127
-5.277517,20,214.79693
-5.277515,20,215.253142
-5.277551,20,215.549253
-5.277551,20,215.85397
-5.277551,20,216.146594
-5.277551,20,216.439992
-5.277549,20,216.900461
-5.277563,20,217.199806
-5.277563,20,217.498293
-5.277563,20,217.791661
-5.277563,20,218.085602
-5.277558,20,218.540754
-5.277552,20,218.846915
-5.277552,20,219.141684
-5.277552,20,219.435896
-5.277552,20,219.730405
-5.277582,20,220.201952
-5.277489,20,220.512183
-5.277489,20,220.814305
-5.277489,20,221.10991
-5.277489,20,221.40194
-5.27751,20,221.868707
-5.277535,20,222.166539
-5.277535,20,222.45809
-5.277535,20,222.751862
-5.277535,20,223.046844
-5.277533,20,223.516917
-5.277523,20,223.811139
-5.277523,20,224.107321
-5.277523,20,224.398474
-5.277523,20,224.693462
-5.277521,20,225.165471
-5.277507,20,225.471695
-5.277507,20,225.766877
-5.277507,20,226.061918
-5.277507,20,226.36278
-5.277515,20,226.827155
-5.277505,20,227.121934
-5.277505,20,227.416947
-5.277505,20,227.711608
-5.277505,20,228.016805
-5.277503,20,228.475175
-5.277413,20,228.769701
-5.277413,20,229.064963
-5.277413,20,229.358079
-5.277413,20,229.66264
-5.277435,20,230.123056
-5.277424,20,230.41746
-5.277424,20,230.712083
-5.277424,20,231.006954
-5.277424,20,231.306534
-5.277422,20,231.77041
-5.27741,20,232.065408
-5.27741,20,232.358145
-5.27741,20,232.651828
-5.27741,20,232.946697
-5.277406,20,233.411753
-5.27734,20,233.701598
-5.27734,20,233.992395
-5.27734,20,234.283177
-5.27734,20,234.578812
-5.277339,20,235.04855
-5.277333,20,235.342671
-5.277333,20,235.63558
-5.277333,20,235.926385
-5.277333,20,236.21718
-5.277332,20,236.670628
-5.277363,20,236.96244
-5.277363,20,237.265034
-5.277363,20,237.556293
-5.277363,20,237.845478
-5.277362,20,238.345727
-5.277356,20,238.636178
-5.277356,20,238.926547
-5.277356,20,239.22335
-5.277356,20,239.52081
-5.277355,20,239.975891
-5.277379,20,240.27326
-5.277379,20,240.568875
-5.277379,20,240.860206
-5.277379,20,241.154486
-5.277378,20,241.605865
-5.277374,20,241.914058
-5.277374,20,242.210743
-5.277374,20,242.500646
-5.277374,20,242.79115
-5.277373,20,243.244369
-5.27731,20,243.53818
-5.27731,20,243.828264
-5.27731,20,244.122095
-5.27731,20,244.430609
-5.277327,20,244.891179
-5.277322,20,245.180509
-5.277322,20,245.472057
-5.277322,20,245.761136
-5.277322,20,246.050855
-5.277321,20,246.502314
-5.277317,20,246.793216
-5.277317,20,247.095872
-5.277317,20,247.390189
-5.277317,20,247.680324
-5.277316,20,248.132797
-5.277328,20,248.426937
-5.277328,20,248.719329
-5.277328,20,249.009992
-5.277328,20,249.301374
-5.277327,20,249.764192
-5.277323,20,250.058527
-5.277323,20,250.349114
-5.277323,20,250.645192
-5.277323,20,250.946564
-5.277323,20,251.398886
-5.277319,20,251.68882
-5.277319,20,251.982159
-5.277319,20,252.274496
-5.277319,20,252.577288
-5.277318,20,253.031967
-5.277315,20,253.321436
-5.277315,20,253.611694
-5.277315,20,253.902683
-5.277315,20,254.194909
-5.277314,20,254.647752
-5.277311,20,254.942529
-5.277311,20,255.250378
-5.277311,20,255.558773
-5.277311,20,255.866311
-5.277311,20,256.321479
-5.277307,20,256.615021
-5.277307,20,256.909763
-5.277307,20,257.202981
-5.277307,20,257.496468
-5.277306,20,257.965982
-5.277304,20,258.25932
-5.277304,20,258.552855
-5.277304,20,258.844598
-5.277304,20,259.137636
-5.277303,20,259.596397
-5.2773,20,259.891859
-5.2773,20,260.182333
-5.2773,20,260.489444
-5.2773,20,260.783693
-5.2773,20,261.239342
-5.277298,20,261.533896
-5.277298,20,261.827246
-5.277298,20,262.121376
-5.277298,20,262.41147
-5.277297,20,262.874342
-5.277295,20,263.174719
-5.277295,20,263.469317
-5.277295,20,263.762607
-5.277295,20,264.058127
-5.277294,20,264.513621
-5.277292,20,264.808638
-5.277292,20,265.098743
-5.277292,20,265.391996
-5.277292,20,265.692431
-5.277292,20,266.144456
-5.277288,20,266.434646
-5.277288,20,266.72468
-5.277288,20,267.014559
-5.277288,20,267.304507
-5.277288,20,267.755533
-5.277286,20,268.063084
-5.277286,20,268.355824
-5.277286,20,268.661962
-5.277286,20,268.953086
-5.277286,20,269.405419
-5.277283,20,269.702721
-5.277283,20,270.006204
-5.277283,20,270.302701
-5.277283,20,270.596302
-5.277282,20,271.048801
-5.27728,20,271.340591
-5.27728,20,271.640197
-5.27728,20,271.935389
-5.27728,20,272.225115
-5.27728,20,272.677469
-5.277285,20,272.969169
-5.277285,20,273.260042
-5.277285,20,273.565613
-5.277285,20,273.856501
-5.277285,20,274.309818
-5.277278,20,274.600023
-5.277278,20,274.891663
-5.277278,20,275.188335
-5.277278,20,275.488732
-5.277278,20,275.941182
-5.277282,20,276.232379
-5.277282,20,276.524042
-5.277282,20,276.81702
-5.277282,20,277.120068
-5.277282,20,277.573423
-5.277277,20,277.866571
-5.277277,20,278.157709
-5.277277,20,278.451753
-5.277277,20,278.747247
-5.277277,20,279.225284
-5.277166,20,279.537169
-5.277166,20,279.844073
-5.277166,20,280.146547
-5.277166,20,280.516664
-5.277165,20,281.051615
-5.277275,20,281.373022
-5.277275,20,281.688798
-5.277275,20,282.007356
-5.277275,20,282.322335
-5.277266,20,282.866093
-5.277213,20,283.177705
-5.277213,20,283.499348
-5.277213,20,283.824071
-5.277213,20,284.148582
-5.277203,20,284.699756
-5.277264,20,285.027214
-5.277264,20,285.363239
-5.277264,20,285.693138
-5.277264,20,286.017368
-5.277264,20,286.657584
-5.277262,20,287.092144
-5.277262,20,287.471572
-5.277262,20,287.843794
-5.277262,20,288.203275
-5.277262,20,288.810909
-5.27726,20,289.145857
-5.27726,20,289.450566
-5.27726,20,289.756157
-5.27726,20,290.066418
-5.27726,20,290.618747
-5.27725,20,290.924433
-5.27725,20,291.234891
-5.27725,20,291.538913
-5.27725,20,291.851636
-5.277249,20,292.398167
-5.277195,20,292.700236
-5.277195,20,293.002481
-5.277195,20,293.311045
-5.277195,20,293.615469
-5.277195,20,294.263852
-5.277272,20,294.669765
-5.277272,20,295.028751
-5.277272,20,295.368496
-5.277272,20,295.697407
-5.277272,20,296.278289
-5.277246,20,296.606487
-5.277246,20,296.938149
-5.277246,20,297.258361
-5.277246,20,297.578582
-5.277246,20,298.134049
-5.27727,20,298.444862
-5.27727,20,298.753084
-5.27727,20,299.063612
-5.27727,20,299.365222
-5.27727,20,300.025968
-5.277191,20,300.335016
-5.277191,20,300.634642
-5.277191,20,300.937409
-5.277191,20,301.242097
-5.27719,20,301.828692
-5.27727,20,302.132926
-5.27727,20,302.462531
-5.27727,20,302.761163
-5.27727,20,303.05599
-5.27727,20,303.576531
-5.27721,20,304.01345
-5.27721,20,304.379545
-5.27721,20,304.737755
-5.27721,20,305.07243
-5.27721,20,305.732177
-5.277268,20,306.051047
-5.277268,20,306.366979
-5.277268,20,306.682289
-5.277268,20,307.006815
-5.27727,20,307.572741
-5.27721,20,307.88661
-5.27721,20,308.200439
-5.27721,20,308.52161
-5.27721,20,308.834956
-5.27721,20,309.386743
-5.277187,20,309.700734
-5.277187,20,310.016585
-5.277187,20,310.333897
-5.277187,20,310.640417
-5.277187,20,311.28508
-5.277267,20,311.605383
-5.277267,20,311.930388
-5.277267,20,312.248673
-5.277267,20,312.570366
-5.277267,20,313.19759
